"ID (do not edit)","Where it appears","TEXT — edit this column","Notes"
"title.tabTitle","Title screen","The Hell Note",""
"title.logoAlt","Title screen","Master Z’s Encounters — The Game",""
"title.headingPlain","Title screen","The <em>Hell Note</em><br>I Should Never<br>Have Taken","Only shows if the logo image fails to load"
"title.start","Title screen","Start game",""
"title.controlsDesktop","Title screen","<b>Desktop</b> · W A S D to walk, move the mouse to look, <b>E</b> to look at things","Keeps <b>bold</b> formatting"
"title.controlsPhone","Title screen","<b>Phone</b> · left thumb walks, right thumb looks, <b>tap</b> things to look at them","Keeps <b>bold</b> formatting"
"title.credits","Title screen","Credits",""
"credits.heading","Credits panel","Credits &amp; attributions",""
"credits.intro","Credits panel","Work by other people used in this prototype, with thanks.",""
"credits.music","Credits panel","Music",""
"credits.musicWho","Credits panel","Leberch · Pixabay",""
"credits.hands","Credits panel","Hands",""
"credits.handsWho","Credits panel","Free VR Hands pack · Fab",""
"credits.ghost","Credits panel","Ghost",""
"credits.ghostWho","Credits panel","Kuntilanak, Indonesian ghost · Sketchfab",""
"credits.block","Credits panel","HDB block",""
"credits.blockWho","Credits panel","HDB · Sketchfab",""
"chapter.loading","Chapter card","Loading…",""
"hud.sanity","HUD (always on screen)","Sanity",""
"hud.awareness","HUD (always on screen)","Awareness",""
"hud.wisdom","HUD (always on screen)","Wisdom",""
"hud.ghostWarning","HUD (always on screen)","Ghost spotted! Sanity level is dropping until you take action.",""
"world.burning","In the world","Something is burning ahead",""
"world.interactKey","In the world","E","Keycap shown on desktop — keep it short"
"world.interactKeyTouch","In the world","Tap","Keycap shown on phones — keep it short"
"world.interactText","In the world","Examine the pile of hell notes",""
"world.interactTextTouch","In the world","the pile of hell notes",""
"world.hintWalk","In the world","Walk toward the light",""
"world.hintPhone","In the world","Left thumb walks · right thumb looks",""
"world.hintMouseTouch","In the world","W A S D to walk · move the mouse to look · touch works too",""
"world.hintLocked","In the world","W A S D to walk · move the mouse to look",""
"world.hintEdges","In the world","W A S D to walk · move the mouse to look · edges keep turning",""
"world.actHintTouch","In the world","tap the glowing pile",""
"world.actHintKey","In the world","E at the glowing pile",""
"world.actLineTouch","In the world","Tap the glowing pile of notes to look again",""
"world.actLineKey","In the world","Press E at the glowing pile to look again",""
"cine.skip","Cutscenes","Skip ▸",""
"decide.label","Decision panel","Decision",""
"decide.stepBack","Decision panel","Step back ✕",""
"result.label","Outcome + teaching card","Outcome",""
"result.teachingLabel","Outcome + teaching card","Master Z’s teaching",""
"result.next","Outcome + teaching card","Close the file",""
"complete.label","Finished the chapter","Case file complete",""
"complete.sealed","Finished the chapter","Sealed",""
"complete.coreLabel","Finished the chapter","Core lesson",""
"complete.again","Finished the chapter","Walk it again",""
"lost.label","Lost your nerve","Case file abandoned",""
"lost.sealed","Lost your nerve","Lost",""
"lost.say","Lost your nerve","Your nerve went before your legs did. Somewhere behind you the drum is still burning, and you could not tell anyone what you saw.",""
"lost.teachingLabel","Lost your nerve","Master Z’s teaching",""
"lost.teaching","Lost your nerve","Fear is not the danger. Standing in front of what frightens you, doing nothing, is the danger. Act, or step away — but do not freeze and call it caution.",""
"lost.retry","Lost your nerve","Walk it again",""
"ch1.title","CHAPTER 1 — the story itself","The Hell Note",""
"ch1.cardLabel","CHAPTER 1 — the story itself","Chapter 1",""
"ch1.cardTitle","CHAPTER 1 — the story itself","The Hell Note<br>I Should Never Have Taken","Chapter card headline — <br> makes a line break"
"ch1.brief","CHAPTER 1 — the story itself","Late. A void deck you have walked a hundred times. Tonight someone has been burning for the dead, and a single note has drifted away from the pile, right into your path.","The paragraph under the logo on the title screen"
"ch1.prompt","CHAPTER 1 — the story itself","The note is at your feet. What do you do?","The question above the four choices"
"ch1.core","CHAPTER 1 — the story itself","Observe before reacting. Do not blindly believe, blindly dismiss, or provoke what you do not understand.","The lesson on the final Sealed card"
"ch1.A.text","CHAPTER 1 — the story itself","Pick it up. It is only paper — and it might be real money.",""
"ch1.A.say","CHAPTER 1 — the story itself","You bend down and take it. The air near the drum goes still, and the warmth on your face is suddenly gone.",""
"ch1.A.teach","CHAPTER 1 — the story itself","What is burned is given. Taking it back is taking from someone who can no longer object. Greed does not become harmless just because the object is worthless.",""
"ch1.B.text","CHAPTER 1 — the story itself","Kick it away and laugh. Superstition is for other people.",""
"ch1.B.say","CHAPTER 1 — the story itself","Your foot scuffs the note across the concrete. Behind you, the drum ticks once — metal cooling, or something else.",""
"ch1.B.teach","CHAPTER 1 — the story itself","Mockery is a form of belief: it insists on an answer before you have looked. Contempt costs nothing to feel and everything to carry.",""
"ch1.C.text","CHAPTER 1 — the story itself","Stop. Look at what is actually here before moving.",""
"ch1.C.say","CHAPTER 1 — the story itself","You stand still. Drum. Plate. Three sticks, still lit. Someone was here minutes ago. This is not a place for you to be standing.",""
"ch1.C.teach","CHAPTER 1 — the story itself","Observation costs nothing and prevents most of what follows. Before you believe or dismiss, first see. Awareness is the cheapest protection there is.",""
"ch1.D.text","CHAPTER 1 — the story itself","Step around it, palms together, and quietly excuse yourself.",""
"ch1.D.say","CHAPTER 1 — the story itself","You go the long way round. A short bow, no words out loud. The lamp buzzes. The night carries on without you in it.",""
"ch1.D.teach","CHAPTER 1 — the story itself","Respect is not agreement. You do not need to believe in something to leave it undisturbed — and leaving things undisturbed is most of the practice.",""
